image,type,prompt,ground_truth
generated_images_qutip_color_bigger_linspace_2d3d_blues/Cat_state_N30_alpha1_linspace5.png,Cat state,,"This is a cat state with alpha=1, number of qubits=30 in the linear space -5 to 5."
generated_images_qutip_color_bigger_linspace_2d3d_blues/Cat_state_N30_alpha1_linspace6.png,Cat state,,"This is a cat state with alpha=1, number of qubits=30 in the linear space -6 to 6."
generated_images_qutip_color_bigger_linspace_2d3d_blues/Cat_state_N30_alpha1_linspace7.png,Cat state,,"This is a cat state with alpha=1, number of qubits=30 in the linear space -7 to 7."
generated_images_qutip_color_bigger_linspace_2d3d_blues/Cat_state_N30_alpha1_linspace8.png,Cat state,,"This is a cat state with alpha=1, number of qubits=30 in the linear space -8 to 8."
generated_images_qutip_color_bigger_linspace_2d3d_blues/Cat_state_N30_alpha1_linspace9.png,Cat state,,"This is a cat state with alpha=1, number of qubits=30 in the linear space -9 to 9."
generated_images_qutip_color_bigger_linspace_2d3d_blues/Cat_state_N30_alpha1_linspace10.png,Cat state,,"This is a cat state with alpha=1, number of qubits=30 in the linear space -10 to 10."
generated_images_qutip_color_bigger_linspace_2d3d_blues/Cat_state_N30_alpha2_linspace5.png,Cat state,,"This is a cat state with alpha=2, number of qubits=30 in the linear space -5 to 5."
generated_images_qutip_color_bigger_linspace_2d3d_blues/Cat_state_N30_alpha2_linspace6.png,Cat state,,"This is a cat state with alpha=2, number of qubits=30 in the linear space -6 to 6."
generated_images_qutip_color_bigger_linspace_2d3d_blues/Cat_state_N30_alpha2_linspace7.png,Cat state,,"This is a cat state with alpha=2, number of qubits=30 in the linear space -7 to 7."
generated_images_qutip_color_bigger_linspace_2d3d_blues/Cat_state_N30_alpha2_linspace8.png,Cat state,,"This is a cat state with alpha=2, number of qubits=30 in the linear space -8 to 8."
generated_images_qutip_color_bigger_linspace_2d3d_blues/Cat_state_N30_alpha2_linspace9.png,Cat state,,"This is a cat state with alpha=2, number of qubits=30 in the linear space -9 to 9."
