image,type,prompt,ground_truth
generated_images_qutip/Cat_state_N20_alpha1.4142135623730951.png,Cat state,,"This is a cat state with alpha equal to 1.4142135623730951, number of qubits equal to 20 in the linear space -5 to 5."
generated_images_qutip/Cat_state_N20_alpha1.4142135623730951.png,Cat state,,"This is a cat state with alpha equal to 1.4142135623730951, number of qubits equal to 20 in the linear space -10 to 10."
generated_images_qutip/Cat_state_N20_alpha0.5.png,Cat state,,"This is a cat state with alpha equal to 0.5, number of qubits equal to 20 in the linear space -5 to 5."
generated_images_qutip/Cat_state_N20_alpha0.5.png,Cat state,,"This is a cat state with alpha equal to 0.5, number of qubits equal to 20 in the linear space -10 to 10."
generated_images_qutip/Cat_state_N20_alpha1.png,Cat state,,"This is a cat state with alpha equal to 1, number of qubits equal to 20 in the linear space -5 to 5."
generated_images_qutip/Cat_state_N20_alpha1.png,Cat state,,"This is a cat state with alpha equal to 1, number of qubits equal to 20 in the linear space -10 to 10."
generated_images_qutip/Cat_state_N20_alpha2.png,Cat state,,"This is a cat state with alpha equal to 2, number of qubits equal to 20 in the linear space -5 to 5."
generated_images_qutip/Cat_state_N20_alpha2.png,Cat state,,"This is a cat state with alpha equal to 2, number of qubits equal to 20 in the linear space -10 to 10."
generated_images_qutip/Cat_state_N20_alpha3.png,Cat state,,"This is a cat state with alpha equal to 3, number of qubits equal to 20 in the linear space -5 to 5."
generated_images_qutip/Cat_state_N20_alpha3.png,Cat state,,"This is a cat state with alpha equal to 3, number of qubits equal to 20 in the linear space -10 to 10."
generated_images_qutip/Cat_state_N20_alpha4.png,Cat state,,"This is a cat state with alpha equal to 4, number of qubits equal to 20 in the linear space -5 to 5."
generated_images_qutip/Cat_state_N20_alpha4.png,Cat state,,"This is a cat state with alpha equal to 4, number of qubits equal to 20 in the linear space -10 to 10."
generated_images_qutip/Cat_state_N20_alpha5.png,Cat state,,"This is a cat state with alpha equal to 5, number of qubits equal to 20 in the linear space -5 to 5."
generated_images_qutip/Cat_state_N20_alpha5.png,Cat state,,"This is a cat state with alpha equal to 5, number of qubits equal to 20 in the linear space -10 to 10."
generated_images_qutip/Cat_state_N20_alpha6.png,Cat state,,"This is a cat state with alpha equal to 6, number of qubits equal to 20 in the linear space -5 to 5."
generated_images_qutip/Cat_state_N20_alpha6.png,Cat state,,"This is a cat state with alpha equal to 6, number of qubits equal to 20 in the linear space -10 to 10."
generated_images_qutip/Cat_state_N20_alpha7.png,Cat state,,"This is a cat state with alpha equal to 7, number of qubits equal to 20 in the linear space -5 to 5."
generated_images_qutip/Cat_state_N20_alpha7.png,Cat state,,"This is a cat state with alpha equal to 7, number of qubits equal to 20 in the linear space -10 to 10."
generated_images_qutip/Cat_state_N20_alpha8.png,Cat state,,"This is a cat state with alpha equal to 8, number of qubits equal to 20 in the linear space -5 to 5."
generated_images_qutip/Cat_state_N20_alpha8.png,Cat state,,"This is a cat state with alpha equal to 8, number of qubits equal to 20 in the linear space -10 to 10."
generated_images_qutip/Cat_state_N19_alpha1.4142135623730951.png,Cat state,,"This is a cat state with alpha equal to 1.4142135623730951, number of qubits equal to 19 in the linear space -5 to 5."
generated_images_qutip/Cat_state_N19_alpha1.4142135623730951.png,Cat state,,"This is a cat state with alpha equal to 1.4142135623730951, number of qubits equal to 19 in the linear space -10 to 10."
generated_images_qutip/Cat_state_N19_alpha0.5.png,Cat state,,"This is a cat state with alpha equal to 0.5, number of qubits equal to 19 in the linear space -5 to 5."
generated_images_qutip/Cat_state_N19_alpha0.5.png,Cat state,,"This is a cat state with alpha equal to 0.5, number of qubits equal to 19 in the linear space -10 to 10."
generated_images_qutip/Cat_state_N19_alpha1.png,Cat state,,"This is a cat state with alpha equal to 1, number of qubits equal to 19 in the linear space -5 to 5."
generated_images_qutip/Cat_state_N19_alpha1.png,Cat state,,"This is a cat state with alpha equal to 1, number of qubits equal to 19 in the linear space -10 to 10."
generated_images_qutip/Cat_state_N19_alpha2.png,Cat state,,"This is a cat state with alpha equal to 2, number of qubits equal to 19 in the linear space -5 to 5."
generated_images_qutip/Cat_state_N19_alpha2.png,Cat state,,"This is a cat state with alpha equal to 2, number of qubits equal to 19 in the linear space -10 to 10."
generated_images_qutip/Cat_state_N19_alpha3.png,Cat state,,"This is a cat state with alpha equal to 3, number of qubits equal to 19 in the linear space -5 to 5."
generated_images_qutip/Cat_state_N19_alpha3.png,Cat state,,"This is a cat state with alpha equal to 3, number of qubits equal to 19 in the linear space -10 to 10."
generated_images_qutip/Cat_state_N19_alpha4.png,Cat state,,"This is a cat state with alpha equal to 4, number of qubits equal to 19 in the linear space -5 to 5."
